idx,id,id_spatial,id_region_type,id_region,year,internal_id,value
475,17239739,45,4,1061000,2016,[1],2780591000
476,17252907,45,4,1062000,2000,[2],19426
477,17246124,45,4,1062000,2000,[1],4214906000
478,17252508,45,4,1062000,2001,[2],20184
479,17245725,45,4,1062000,2001,[1],4421071000
480,17252109,45,4,1062000,2002,[2],20379
481,17245326,45,4,1062000,2002,[1],4501561000
482,17251710,45,4,1062000,2003,[2],21011
483,17244927,45,4,1062000,2003,[1],4662493000
484,17251311,45,4,1062000,2004,[2],21343
485,17244528,45,4,1062000,2004,[1],4762370000
486,17250912,45,4,1062000,2005,[2],21821
487,17244129,45,4,1062000,2005,[1],4897968000
488,17250513,45,4,1062000,2006,[2],21828
489,17243730,45,4,1062000,2006,[1],4916571000
490,17250114,45,4,1062000,2007,[2],22067
491,17243331,45,4,1062000,2007,[1],4989377000
492,17249715,45,4,1062000,2008,[2],22315
493,17242932,45,4,1062000,2008,[1],5068434000
494,17249316,45,4,1062000,2009,[2],22435
495,17242533,45,4,1062000,2009,[1],5119444000
496,17248917,45,4,1062000,2010,[2],22640
497,17242134,45,4,1062000,2010,[1],5194842000
498,17248518,45,4,1062000,2011,[2],23289
499,17241735,45,4,1062000,2011,[1],5374441000
500,17248119,45,4,1062000,2012,[2],23958
501,17241336,45,4,1062000,2012,[1],5561745000
502,17247720,45,4,1062000,2013,[2],23702
503,17240937,45,4,1062000,2013,[1],5541436000
504,17247321,45,4,1062000,2014,[2],24033
505,17240538,45,4,1062000,2014,[1],5664401000
506,17246922,45,4,1062000,2015,[2],24496
507,17240139,45,4,1062000,2015,[1],5833994000
508,17246523,45,4,1062000,2016,[2],25006
509,17239740,45,4,1062000,2016,[1],6019344000
510,17252908,45,4,3101000,2000,[2],16159
511,17246125,45,4,3101000,2000,[1],3924165000
512,17252509,45,4,3101000,2001,[2],16704
513,17245726,45,4,3101000,2001,[1],4043329000
514,17252110,45,4,3101000,2002,[2],16937
515,17245327,45,4,3101000,2002,[1],4089707000
516,17251711,45,4,3101000,2003,[2],17361
517,17244928,45,4,3101000,2003,[1],4181950000
518,17251312,45,4,3101000,2004,[2],17568
519,17244529,45,4,3101000,2004,[1],4230055000
520,17250913,45,4,3101000,2005,[2],17918
521,17244130,45,4,3101000,2005,[1],4310458000
522,17250514,45,4,3101000,2006,[2],18207
523,17243731,45,4,3101000,2006,[1],4371195000
524,17250115,45,4,3101000,2007,[2],18387
525,17243332,45,4,3101000,2007,[1],4414526000
526,17249716,45,4,3101000,2008,[2],18613
527,17242933,45,4,3101000,2008,[1],4468907000
528,17249317,45,4,3101000,2009,[2],18628
529,17242534,45,4,3101000,2009,[1],4482222000
530,17248918,45,4,3101000,2010,[2],18878
531,17242135,45,4,3101000,2010,[1],4564302000
532,17248519,45,4,3101000,2011,[2],19398
533,17241736,45,4,3101000,2011,[1],4715678000
534,17248120,45,4,3101000,2012,[2],19977
535,17241337,45,4,3101000,2012,[1],4890537000
536,17247721,45,4,3101000,2013,[2],20200
537,17240938,45,4,3101000,2013,[1],4979571000
538,17247322,45,4,3101000,2014,[2],20488
539,17240539,45,4,3101000,2014,[1],5078292000
540,17246923,45,4,3101000,2015,[2],20982
541,17240140,45,4,3101000,2015,[1],5244023000
542,17246524,45,4,3101000,2016,[2],21419
543,17239741,45,4,3101000,2016,[1],5355167000
544,17252909,45,4,3102000,2000,[2],14915
545,17246126,45,4,3102000,2000,[1],1656184000
546,17252510,45,4,3102000,2001,[2],15412
547,17245727,45,4,3102000,2001,[1],1699025000
548,17252111,45,4,3102000,2002,[2],15448
549,17245328,45,4,3102000,2002,[1],1688643000
550,17251712,45,4,3102000,2003,[2],15696
551,17244929,45,4,3102000,2003,[1],1698531000
552,17251313,45,4,3102000,2004,[2],15842
553,17244530,45,4,3102000,2004,[1],1695358000
554,17250914,45,4,3102000,2005,[2],16137
555,17244131,45,4,3102000,2005,[1],1707264000
556,17250515,45,4,3102000,2006,[2],16327
557,17243732,45,4,3102000,2006,[1],1708005000
558,17250116,45,4,3102000,2007,[2],16609
559,17243333,45,4,3102000,2007,[1],1715393000
560,17249717,45,4,3102000,2008,[2],17017
561,17242934,45,4,3102000,2008,[1],1736265000
562,17249318,45,4,3102000,2009,[2],17184
563,17242535,45,4,3102000,2009,[1],1734943000
564,17248919,45,4,3102000,2010,[2],17651
565,17242136,45,4,3102000,2010,[1],1761835000
566,17248520,45,4,3102000,2011,[2],18114
567,17241737,45,4,3102000,2011,[1],1791628000
568,17248121,45,4,3102000,2012,[2],18714
569,17241338,45,4,3102000,2012,[1],1840326000
570,17247722,45,4,3102000,2013,[2],18912
571,17240939,45,4,3102000,2013,[1],1856121000
572,17247323,45,4,3102000,2014,[2],19224
573,17240540,45,4,3102000,2014,[1],1895107000
574,17246924,45,4,3102000,2015,[2],19589
575,17240141,45,4,3102000,2015,[1],1959337000
576,17246525,45,4,3102000,2016,[2],19585
577,17239742,45,4,3102000,2016,[1],2005021000
